SalesID,YearMade,ModelID,MachineHoursCurrentMeter,ProductSize,state,Transmission,Turbocharged,Engine_Horsepower,PredictedPrice
1222837,1000,1376,0.0,0,0,0,0,0,25333.333333333332
1222839,2006,36526,4412.0,0,1,0,0,0,31750.0
1222841,2000,4587,10127.0,0,1,0,0,0,31750.0
1222843,1000,1954,4682.0,0,1,0,0,0,31750.0
1222845,2002,4701,8150.0,1,2,0,0,0,31750.0
1222847,2001,7019,0.0,1,2,0,0,0,58750.0
1222849,1000,3854,1529.0,2,3,0,0,0,31750.0
1222850,1000,3854,3998.0,2,3,0,0,0,31750.0
1222855,1000,23926,8145.0,1,2,1,0,1,31750.0
1222863,2002,4106,3211.0,1,4,2,0,0,31750.0
1222864,1000,1586,7558.0,2,4,3,0,0,31750.0
1222865,2007,22653,655.0,1,4,2,0,0,31750.0
1222867,2006,28540,1542.0,3,4,0,0,0,31750.0
1222879,2007,8851,1321.0,1,5,4,1,0,31750.0
1222883,2006,10473,1850.0,4,6,0,0,0,31750.0
1222905,2005,17454,3145.0,2,2,0,0,0,31750.0
1222908,2004,1269,12003.0,0,7,0,0,0,31750.0
1222910,2004,3542,9344.0,1,7,5,2,0,31750.0
1222911,1000,1229,9827.0,0,7,0,0,0,31750.0
1222917,1000,7277,0.0,2,7,0,0,0,25750.0
1222918,1000,3854,4800.0,2,7,0,0,0,31750.0
1222919,1000,3877,3123.0,2,7,0,0,0,31750.0
1222920,1000,3883,0.0,5,7,0,0,0,32750.0
1222926,1000,3883,0.0,5,7,0,0,0,32750.0
1222969,2006,20093,2688.0,4,8,0,0,0,31750.0
1222973,1000,4101,6101.0,1,4,3,0,0,31750.0
1222977,1000,4721,0.0,1,4,1,0,1,60416.666666666664
1222978,1000,8308,0.0,1,4,1,0,1,60416.666666666664
1222980,2006,17242,1703.0,4,9,0,0,0,31750.0
1222981,2005,20093,4348.0,4,10,0,0,0,31750.0
1222984,2007,19358,46.0,4,2,0,0,0,15458.333333333334
1222990,1000,3883,0.0,5,7,0,0,0,32750.0
1222993,1000,11822,5890.0,2,11,0,0,0,31750.0
1222997,1000,17578,7762.0,0,6,0,0,0,31750.0
1222999,1999,1889,594.0,1,4,3,0,0,31750.0
1223003,2007,1210,4381.0,0,12,0,0,0,31750.0
1223014,2005,18263,0.0,1,13,0,0,0,55250.0
1223039,1000,4504,0.0,1,14,1,0,1,60416.666666666664
1223040,1000,3415,0.0,0,15,0,0,0,58750.0
1223041,1999,3879,0.0,2,15,0,0,0,25750.0
1223042,1999,3879,0.0,2,15,0,0,0,25750.0
1223043,1000,549,0.0,0,15,0,0,0,58750.0
1223057,2003,23931,5766.0,1,16,1,0,1,31750.0
1223058,1999,23929,7863.0,1,16,1,0,1,31750.0
1223059,2005,22358,4348.0,1,16,3,0,1,31750.0
1223060,2003,23931,10484.0,1,16,1,0,1,31750.0
1223067,1000,12522,2176.0,4,13,0,0,0,31750.0
1223069,2005,13832,6488.0,1,13,4,0,0,31750.0
1223070,2003,24028,13725.0,0,13,0,0,0,31750.0
1223072,2001,4764,14429.0,1,17,2,0,0,31750.0
1223073,2003,4116,0.0,1,17,2,0,0,59333.333333333336
1223074,2005,16562,11182.0,0,17,0,0,0,31750.0
1223075,2001,7021,82.0,1,17,0,0,0,25500.0
1223076,2002,3807,15805.0,2,17,0,0,0,31750.0
1223077,2001,7021,8419.0,1,17,0,0,0,31750.0
1223078,1998,3879,32898.0,2,13,0,0,0,31750.0
1223079,1999,3879,32969.0,2,13,0,0,0,31750.0
1223080,1998,3879,38036.0,2,17,0,0,0,31750.0
1223081,1999,3879,41262.0,2,17,0,0,0,31750.0
1223082,2001,5874,19259.0,2,17,0,0,0,31750.0
1223083,2005,3170,0.0,1,4,2,1,0,24750.0
1223084,1997,14988,0.0,0,18,0,0,0,58750.0
1223091,2005,3170,1772.0,1,17,2,1,0,31750.0
1223094,2003,1078,2988.0,4,2,0,0,0,31750.0
1223095,1000,4038,43105.0,5,19,3,0,0,31750.0
1223099,1000,8725,14102.0,0,0,0,0,0,31750.0
1223101,2004,9580,2642.0,1,13,0,0,0,31750.0
1223115,2006,11394,2381.0,1,20,2,0,0,31750.0
1223116,1997,7944,4554.0,3,20,0,0,0,31750.0
1223117,2000,8022,2707.0,1,20,0,0,0,31750.0
1223118,2006,14248,1341.0,1,20,2,1,0,31750.0
1223121,2005,9580,2797.0,1,21,0,0,0,31750.0
1223124,2006,9580,2676.0,1,21,0,0,0,31750.0
1223129,1999,8016,1633.0,1,22,0,0,0,31750.0
1223130,1999,8016,2100.0,1,22,0,0,0,31750.0
1223141,2005,6742,2917.0,1,23,4,0,0,31750.0
1223145,1000,43,2942.0,1,24,5,2,0,31750.0
1223147,2010,12706,1783.0,1,24,2,0,0,31750.0
1223148,2005,1580,1427.0,1,24,2,0,0,31750.0
1223149,2010,1590,662.0,1,24,2,0,0,31750.0
1223150,2008,1590,1505.0,1,24,2,0,0,31750.0
1223151,2009,1590,1094.0,1,24,2,0,0,31750.0
1223152,2008,12704,2300.0,2,24,2,0,0,31750.0
1223154,2009,21785,2191.0,4,24,0,0,0,31750.0
1223164,2005,17235,2243.0,4,25,0,0,0,31750.0
1223165,2005,26180,3674.0,3,25,0,0,0,31750.0
1223169,1000,2759,0.0,2,26,3,0,0,75166.66666666667
1223176,1998,4641,2623.0,1,3,4,1,0,31750.0
1223177,1000,4818,6008.0,1,3,1,0,1,31750.0
1223179,1000,4602,8492.0,1,3,4,1,0,31750.0
1223180,1000,4774,0.0,1,3,1,0,1,60416.666666666664
1223181,1000,3170,7304.0,1,3,4,1,0,31750.0
1223182,1000,4639,6536.0,1,3,4,1,0,31750.0
1223184,2002,13604,14673.0,2,19,0,0,0,31750.0
1223185,2005,17232,121.0,4,21,0,0,0,31750.0
1223186,2005,24808,0.0,1,21,4,1,0,40833.333333333336
1223187,2005,17311,1231.0,1,0,0,0,0,31750.0
1223192,1998,17472,144.0,1,0,0,0,0,31750.0
1223193,1998,36231,6286.0,1,0,5,1,0,31750.0
1223195,2005,17438,912.0,1,0,0,0,0,31750.0
1223198,2005,24808,362.0,1,21,4,1,0,31750.0
1223209,1000,11865,6254.0,0,27,0,0,0,31750.0
1223211,2005,17443,1334.0,1,26,0,0,0,31750.0
1223212,2005,17438,1658.0,1,26,0,0,0,31750.0
1223215,1000,7013,0.0,0,28,0,0,0,58750.0
1223217,2005,2144,3546.0,0,24,0,0,0,31750.0
1223226,1000,3170,2030.0,1,26,5,1,0,31750.0
1223227,1000,3177,8227.0,1,26,5,1,0,31750.0
1223229,2002,3542,8181.0,1,7,4,1,0,31750.0
1223244,2004,9518,1119.0,1,18,0,0,0,31750.0
1223245,2004,9518,1143.0,1,18,0,0,0,31750.0
1223246,2005,9580,1592.0,1,18,0,0,0,31750.0
1223252,2005,4579,273.0,6,18,0,0,0,31750.0
1223269,2002,23931,10274.0,1,16,1,0,2,31750.0
1223270,2003,23931,10236.0,1,16,1,0,1,31750.0
1223271,2002,23931,12078.0,1,16,1,0,2,31750.0
1223272,2003,23931,7404.0,1,16,1,0,1,31750.0
1223273,2003,23931,12339.0,1,16,1,0,1,31750.0
1223277,1000,9551,3570.0,1,26,0,0,0,31750.0
1223279,1000,3883,20459.0,5,29,0,0,0,31750.0
1223289,2007,16770,693.0,1,18,2,1,0,31750.0
1223293,2007,18255,7674.0,1,7,0,0,0,31750.0
1223303,1000,3893,1439.0,5,19,0,0,0,31750.0
1223306,2003,12040,3439.0,4,14,0,0,0,31750.0
1223308,2000,3824,19266.0,2,30,0,0,0,31750.0
1223309,2001,28584,9162.0,0,30,0,0,0,31750.0
1223310,2001,3824,14665.0,2,19,0,0,0,31750.0
1223311,2000,3858,21986.0,2,30,0,0,0,31750.0
1223313,2001,23931,20816.0,1,19,1,0,1,31750.0
1223318,2005,137,9392.0,5,7,4,0,0,31750.0
1223319,2008,20869,1130.0,5,7,0,0,0,31750.0
1223320,2004,23810,9412.0,2,7,0,0,0,31750.0
1223322,2005,137,0.0,5,7,4,0,0,49916.666666666664
1223328,1999,3223,2080.0,1,27,0,0,0,31750.0
1223329,2005,18171,0.0,0,27,0,0,0,58750.0
